Weighted_Score,Total_Incidents
106.5,157
19.5,24
121.0,191
60.0,102
4.0,7
27.0,39
41.0,69
92.0,153
47.0,78
98.5,149
90.0,147
13.5,25
89.0,150
181.5,310
27.5,35
274.5,456
1356.0,2027
82.0,149
89.0,140
569.5,665
1.5,3
41.5,66
36.0,64
64.0,102
14.5,21
238.0,360
12.5,22
93.0,155
189.0,258
81.5,134
19.0,29
7.5,14
23.5,39
17.5,17
63.0,106
22.0,33
30.5,42
104.5,155
7.0,9
177.5,285
30.0,51
125.5,207
132.0,227
32.0,58
149.5,247
91.5,160
26.5,41
92.5,155
24.0,31
19.5,35
84.5,129
60.0,106
14.0,24
16.5,28
208.5,329
2.0,3
2.0,4
557.0,916
4.0,8
154.0,199
384.5,577
39.5,70
7.0,10
33.0,58
29.5,53
55.0,85
33.5,51
33.5,48
13.5,18
5.0,9
2.5,4
210.0,304
158.0,265
103.0,132
33.5,52
2249.5,3453
124.5,188
5.0,10
32.5,55
141.5,173
173.0,272
3.0,3
15.0,28
63.0,101
4.0,7
4.0,6
25.0,39
30.5,51
14.5,26
28.0,35
17.0,31
43.0,63
22.0,36
8.5,17
