_id,Neighborhood,Id,estimate__aggregate_household_income_in_the_past_12_months__,margin_of_error__aggregate_household_income_in_the_past_12_m
1,Allegheny Center,1,39947000,6437773
2,Allegheny West,2,23793300,22025939
3,Allentown,3,38303700,7490207.043
4,Arlington,4,35349900,6140662.723
5,Arlington Heights,5,2389600,1162393
6,Banksville,6,138084700,25839798.58
7,Bedford Dwellings,7,10529100,1666825
8,Beechview,8,193055900,20558893.78
9,Beltzhoover,9,28121300,6955896.138
10,Bloomfield,10,249898900,17631530.8
11,Bluff,11,11005200,3053714.909
12,Bon Air,12,22093100,4363955
13,Brighton Heights,13,201692800,18528009.98
14,Brookline,14,366945900,33459110.1
15,California-Kirkbride,15,10718900,2850114
16,Carrick,16,221221100,25358376.69
17,Central Business District,17,210460000,38813243.08
18,Central Lawrenceville,18,144917900,14971960.03
19,Central Northside,19,96353500,14187902.91
20,Central Oakland,20,55528300,8248328.467
21,Chartiers City,21,13805200,4387080
22,Chateau,22,-,**
23,Crafton Heights,23,89278600,14312490.15
24,Crawford-Roberts,24,34226600,7964968.613
25,Duquesne Heights,25,91613300,18318437.52
26,East Allegheny,26,56433100,9846049.456
27,East Carnegie,27,14945000,4062628
28,East Hills,28,41528200,7871752.465
29,East Liberty,29,115711700,16575789.33
30,Elliott,30,43215900,8110202.165
31,Esplen,31,5433900,2379084
32,Fairywood,32,33908400,8418356
33,Fineview,33,25475500,7391478.933
34,Friendship,34,47475400,8631431.016
35,Garfield,35,67632800,16399392.03
36,Glen Hazel,36,4773300,2914988
37,Greenfield,37,241377900,26174704.08
38,Hays,38,6432200,1912520
39,Hazelwood,39,75829000,13563882.14
40,Highland Park,40,242405400,35463932.76
41,Homewood North,41,37727300,7125085.724
42,Homewood South,42,29434400,4468174.859
43,Homewood West,43,11290000,2726332.295
44,Knoxville,44,60537300,11423844.9
45,Larimer,45,18139300,3363490.759
46,Lincoln Place,46,84551900,12450240.87
47,Lincoln-Lemington-Belmar,47,91032900,15513365.3
48,Lower Lawrenceville,48,63562900,9964615.088
49,Manchester,49,54372200,15557377.68
50,Marshall-Shadeland,50,68871800,10291350.2
51,Middle Hill,51,27566200,5776016.68
52,Morningside,52,87871100,11202092.89
53,Mount Oliver Borough,53,61592000,18596383.52
54,Mount Washington,54,267100700,26611655.18
55,Mt. Oliver,55,13962700,3748518
56,New Homestead,56,27062600,3763271
57,North Oakland,57,123408700,20564747.34
58,North Shore,58,12397000,4415906
59,Northview Heights,59,8755000,2398522
60,Oakwood,60,25014900,4076094
61,Overbrook,61,90146300,10295987.27
62,Perry North,62,104107900,12948264.12
63,Perry South,63,54989600,8757091.783
64,Point Breeze,64,314958500,30291428.03
65,Point Breeze North,65,59572300,9198290.554
66,Polish Hill,66,38888900,6374407.742
67,Regent Square,67,52288700,8704589
68,Ridgemont,68,7893900,2639357
69,Shadyside,69,605635700,62416083.58
70,Sheraden,70,101081700,11670388.95
71,South Oakland,71,47722300,10823398.42
72,South Shore,72,-,**
73,South Side Flats,73,233098400,31279286.86
74,South Side Slopes,74,123648400,18884639.17
75,Spring Garden,75,15833800,2941611.233
76,Spring Hill-City View,76,46688500,9345349.907
77,Squirrel Hill North,77,577467500,66363783.65
78,Squirrel Hill South,78,659886300,57908445.45
79,St. Clair,79,3867600,1527597
80,Stanton Heights,80,134047100,15607513.66
81,Strip District,81,91738300,37240188
82,Summer Hill,82,40337500,8808166
83,Swisshelm Park,83,43095600,4652129
84,Terrace Village,84,16879300,3672343.904
85,Troy Hill,85,77521600,22171205.68
86,Upper Hill,86,39512800,12264473.26
87,Upper Lawrenceville,87,65738500,16007126
88,West End,88,3615800,2204875
89,West Oakland,89,16339500,3412753.172
90,Westwood,90,91857100,11304497.08
91,Windgap,91,34609300,6432817.1
